,Symbol,Count Month,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Month 1,Month 2,Month 3,Month Full
189,HID,3.2,3.67,3.15,2.95,3.78,3.27,0.22,"110,156.25","80,345.55",1.61,0.0,-4.97,-4.66
190,TDG,3.2,4.5,3.86,3.67,5.09,4.19,0.39,"169,389.06","216,405.16",-3.02,-2.37,-4.99,-4.68
191,ORS,3.2,19.35,16.6,13.5,21.25,17.27,1.73,"3,213,151.56","1,843,630.34",7.79,-3.16,-4.98,-4.68
192,SHB,3.2,12.65,10.85,10.05,12.75,11.15,0.72,"16,644,996.88","8,154,311.42",-0.46,0.93,-4.99,-4.68
193,ACL,3.2,14.7,12.6,11.85,15.55,13.34,1.06,"112,717.19","160,964.50",1.2,-4.79,-5.01,-4.7
194,SIP,3.2,68.25,58.5,50.8,69.5,59.09,4.9,"105,706.25","89,054.89",10.38,-0.76,-5.01,-4.7
195,HHP,3.2,12.1,10.35,9.5,12.3,10.8,0.67,"391,340.62","435,721.81",3.5,-0.72,-5.07,-4.76
196,VNM,3.2,80.1,68.4,67.0,80.3,73.13,4.16,"2,336,837.50","1,149,436.65",-3.53,-4.12,-5.13,-4.81
197,HAX,3.2,16.05,13.7,13.0,16.25,14.55,0.87,"532,337.50","433,473.61",-0.72,-2.96,-5.14,-4.83
198,TCB,3.2,35.0,29.75,27.7,35.75,31.93,1.93,"4,097,631.25","2,004,245.09",1.36,-3.95,-5.27,-4.95
199,VIX,3.2,19.65,16.7,12.05,20.6,16.21,2.07,"35,640,567.19","11,328,095.84",22.34,4.99,-5.28,-4.96
200,NAF,3.2,17.3,14.65,14.2,17.3,15.4,0.94,"147,715.62","130,356.90",0.0,-2.94,-5.39,-5.06
201,EIB,3.2,21.65,18.3,16.65,21.65,18.5,1.45,"7,446,129.69","4,174,771.19",3.98,3.91,-5.46,-5.12
202,SBT,3.2,16.45,13.9,13.0,16.65,14.48,1.03,"2,232,660.94","1,219,270.51",-1.42,-0.71,-5.46,-5.13
203,PLC,3.2,35.9,30.3,25.6,37.7,32.14,3.1,"181,206.75","105,438.39",5.57,-4.61,-5.5,-5.16
204,QBS,3.2,2.85,2.4,2.1,3.17,2.5,0.25,"582,631.25","653,525.12",4.35,-1.03,-5.57,-5.23
