,Symbol,Count Day,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Day 1,Day 2,Day 3,Day 4,Day Full
171,PSE,4.0,23.0,23.3,23.0,24.1,23.43,0.47,"135,317.50","32,426.83",0.0,0.0,-1.12,0.32,0.32
172,LPT,4.0,15.4,15.6,15.4,16.4,15.75,0.44,"205,752.25","75,736.35",0.0,-2.47,0.0,0.32,0.32
173,TNI,4.0,8.9,9.01,8.89,9.24,9.01,0.16,"3,244,725.00","1,115,382.28",0.0,-1.25,0.45,0.31,0.31
174,VNH,4.0,8.1,8.2,7.7,8.2,8.02,0.22,"408,376.25","123,873.92",0.0,0.62,2.12,0.31,0.31
175,CIG,4.0,12.5,12.65,12.45,12.8,12.6,0.16,"854,250.00","362,104.32",0.0,-0.59,0.53,0.3,0.3
176,UDC,4.0,12.3,12.45,12.3,12.5,12.39,0.1,"137,175.00","71,217.71",0.0,-0.2,0.4,0.3,0.3
177,AGM,4.0,60.3,61.0,60.3,61.0,60.67,0.33,"310,100.00","66,922.94",0.0,0.08,0.27,0.29,0.29
178,KDC,4.0,53.8,54.4,53.8,55.0,54.42,0.49,"2,875,750.00","221,849.63",0.0,-0.09,-0.36,0.28,0.28
179,VJC,4.0,137.0,138.5,137.0,140.0,138.62,1.25,"905,400.00","98,520.96",0.0,-0.18,-0.36,0.27,0.27
180,CTC,4.0,9.4,9.5,9.4,9.6,9.47,0.1,"423,707.50","176,197.34",0.0,-0.52,0.35,0.26,0.26
181,HID,4.0,10.9,11.0,10.85,11.15,10.97,0.13,"1,162,000.00","258,681.62",0.0,-0.67,0.46,0.23,0.23
182,VID,4.0,11.15,11.25,11.15,11.3,11.25,0.07,"101,925.00","64,565.85",0.0,-0.22,-0.15,0.22,0.22
183,SRA,4.0,11.4,11.5,11.4,11.8,11.53,0.19,"1,284,417.25","815,190.62",0.0,-1.28,0.29,0.22,0.22
184,TCL,4.0,41.6,41.95,41.6,43.0,42.14,0.6,"168,300.00","75,294.13",0.0,-0.06,-0.82,0.21,0.21
185,MSB,4.0,25.15,25.35,25.0,25.4,25.23,0.18,"3,897,750.00","1,883,016.28",0.0,-0.1,0.46,0.2,0.2
186,TNS,4.0,12.9,13.0,12.9,13.4,13.15,0.24,"344,707.75","120,890.32",0.0,-1.13,-1.01,0.19,0.19
187,TDT,4.0,12.8,12.9,12.7,12.9,12.8,0.08,"305,542.75","132,794.70",0.0,0.39,0.52,0.19,0.19
188,SJD,4.0,21.1,21.25,21.05,21.25,21.11,0.09,"252,925.00","126,022.81",0.0,0.47,0.32,0.18,0.18
189,BNA,4.0,43.9,44.2,43.9,44.5,44.2,0.24,"441,343.50","136,371.38",0.0,-0.34,0.0,0.17,0.17
190,PDR,4.0,87.1,87.7,87.1,88.1,87.72,0.45,"3,221,575.00","112,343.18",0.0,-0.23,-0.11,0.17,0.17
191,LPB,4.0,22.0,22.15,22.0,22.25,22.1,0.12,"6,913,275.00","2,194,560.80",0.0,-0.22,0.23,0.17,0.17
192,TV2,4.0,63.5,63.9,63.5,64.7,64.08,0.51,"485,950.00","220,189.46",0.0,-0.23,-0.41,0.16,0.16
193,CTG,4.0,32.05,32.25,32.0,32.25,32.1,0.11,"5,112,800.00","1,656,983.02",0.0,0.23,0.26,0.16,0.16
194,BID,4.0,41.6,41.85,40.5,41.85,41.23,0.61,"1,899,025.00","506,020.48",0.0,1.09,1.1,0.15,0.15
195,AAA,4.0,17.7,17.8,17.55,17.8,17.69,0.1,"4,916,400.00","1,003,112.66",0.0,0.28,0.47,0.14,0.14
196,VHM,4.0,74.6,75.0,74.0,75.2,74.7,0.53,"5,203,525.00","1,832,064.58",0.0,-0.13,0.45,0.13,0.13
